transaction_id,timestamp,user_id,amount,location,device_type,is_fraud
1,2025-06-20 20:04:16.209620,1051,76.72,Bangalore,Tablet,1
2,2025-06-20 20:03:16.209634,1092,467.76,Bangalore,Desktop,0
3,2025-06-20 20:02:16.209638,1014,16.16,Bangalore,Mobile,0
4,2025-06-20 20:01:16.209640,1071,353.07,Delhi,Desktop,0
5,2025-06-20 20:00:16.209642,1060,85.82,Bangalore,Desktop,0
6,2025-06-20 19:59:16.209643,1020,147.46,Mumbai,Tablet,0
7,2025-06-20 19:58:16.209645,1082,316.45,Delhi,Mobile,0
8,2025-06-20 19:57:16.209647,1086,431.48,Delhi,Mobile,0
9,2025-06-20 19:56:16.209649,1074,84.56,Chennai,Tablet,0
10,2025-06-20 19:55:16.209651,1074,123.92,Mumbai,Desktop,0
11,2025-06-20 19:54:16.209652,1087,107.06,Chennai,Desktop,0
12,2025-06-20 19:53:16.209654,1099,2.67,Chennai,Mobile,0
13,2025-06-20 19:52:16.209655,1023,70.18,Mumbai,Tablet,0
14,2025-06-20 19:51:16.209656,1002,122.94,Chennai,Tablet,0
15,2025-06-20 19:50:16.209658,1021,105.9,Mumbai,Desktop,0
16,2025-06-20 19:49:16.209659,1052,255.98,Mumbai,Desktop,0
17,2025-06-20 19:48:16.209660,1001,97.16,Chennai,Tablet,0
18,2025-06-20 19:47:16.209661,1087,134.42,Bangalore,Mobile,0
19,2025-06-20 19:46:16.209665,1029,112.29,Chennai,Desktop,0
20,2025-06-20 19:45:16.209667,1037,269.9,Delhi,Tablet,0
21,2025-06-20 19:44:16.209668,1001,397.51,Chennai,Tablet,0
22,2025-06-20 19:43:16.209670,1063,151.81,Mumbai,Tablet,0
23,2025-06-20 19:42:16.209671,1059,311.59,Delhi,Mobile,0
24,2025-06-20 19:41:16.209672,1020,70.42,Mumbai,Desktop,0
25,2025-06-20 19:40:16.209674,1032,155.9,Bangalore,Desktop,0
26,2025-06-20 19:39:16.209675,1075,84.69,Bangalore,Desktop,0
27,2025-06-20 19:38:16.209676,1057,106.96,Delhi,Mobile,0
28,2025-06-20 19:37:16.209678,1021,263.66,Bangalore,Desktop,0
29,2025-06-20 19:36:16.209679,1088,426.84,Bangalore,Desktop,0
30,2025-06-20 19:35:16.209680,1048,25.91,Chennai,Desktop,0
31,2025-06-20 19:34:16.209682,1090,201.37,Chennai,Desktop,0
32,2025-06-20 19:33:16.209683,1058,174.52,Bangalore,Mobile,0
33,2025-06-20 19:32:16.209684,1041,25.21,Bangalore,Tablet,0
34,2025-06-20 19:31:16.209686,1091,47.62,Chennai,Tablet,0
35,2025-06-20 19:30:16.209687,1059,74.5,Bangalore,Desktop,0
36,2025-06-20 19:29:16.209689,1079,36.53,Bangalore,Desktop,0
37,2025-06-20 19:28:16.209690,1014,55.87,Mumbai,Desktop,0
38,2025-06-20 19:27:16.209691,1061,62.29,Bangalore,Mobile,0
39,2025-06-20 19:26:16.209693,1061,81.8,Delhi,Desktop,0
40,2025-06-20 19:25:16.209694,1046,276.77,Mumbai,Mobile,0
41,2025-06-20 19:24:16.209695,1061,169.69,Delhi,Desktop,0
42,2025-06-20 19:23:16.209697,1050,857.29,Bangalore,Desktop,0
43,2025-06-20 19:22:16.209698,1054,107.14,Chennai,Tablet,0
44,2025-06-20 19:21:16.209699,1063,280.38,Mumbai,Desktop,0
45,2025-06-20 19:20:16.209701,1002,410.32,Chennai,Mobile,0
46,2025-06-20 19:19:16.209702,1050,227.25,Mumbai,Tablet,0
47,2025-06-20 19:18:16.209704,1006,106.16,Chennai,Mobile,0
48,2025-06-20 19:17:16.209707,1020,280.16,Mumbai,Tablet,0
